bn:00000168n;À la carte;menu_312.92;mtv_238.72;restaurant_154.4;channel_104.29;delmonico_96.75;carte_95.49;koodo_77.77;video_50.29;wwor_46.97
bn:00000169n;A-level;qualification_531.24;student_451.68;examination_414.44;level_365.27;grade_336.77;subject_328.25;gce_249.99;education_226.31;a-level_219.3
bn:00000171n;Alcoholics Anonymous;aa_872.14;alcoholic_693.5;alcoholism_609.4;alcohol_444.4;alcoholics anonymous_441.07;sobriety_334.72;wilson_306.33;group_302.05;sober_290.66
bn:00000173n;Abdominal aortic aneurysm;aneurysm_549.41;abdominal aortic aneurysm_208.56;rupture_192.67;risk_174.93;aaa_174.67;evar_165.94;endovascular_159.76;aorta_157.72;aortic_154.35
bn:00000174n;Aachen;aachen_1957.88;charlemagne_341.27;chio_159.45;eilendorf_112.89;aachener_108.03;dressage_88.99;city_86.35;burtscheid_82.61;cathedral_80.65
bn:00000175n;Åland Islands;finland_1261.7;åland_638.34;finnish_549.54;sweden_306.51;swedish_288.35;archipelago_162.01;mariehamn_115.52;island_105.38;denmark_85.58
bn:00000176n;Aalborg;aalborg_1698.17;aarhus_442.16;denmark_284.45;limfjord_205.54;danish_196.74;jutland_167.08;city_143.83;esbjerg_137.48;port_90.53
bn:00000179n;Alvar Aalto;aalto_1010.49;helsinki_829.58;finland_742.03;finnish_530.91;alvar aalto_516.93;architect_434.97;architecture_396.01;nurmi_372.02;design_328.2
bn:00000180n;Aare;rhine_444.2;aare_393.71;river_390.35;bern_306.59;near_227.57;brugg_222.59;thun_206.83;switzerland_190.25;lake_180.87
bn:00000181n;Aardvark;lc_690.09;aardvark_613.69;genus_604.17;ant_403.14;termite_380.46;mammal_263.69;specie_199.98;subfamily_187.51;lr\/lc_187.44
bn:00000182n;Aardwolf;hyena_818.88;spotted hyena_580.52;striped hyena_324.01;aardwolf_216.2;brown hyena_92.33;prey_77.6;cub_72.83;termite_68.17;animal_67.76
bn:00000183n;Aarhus;aarhus_1908.47;denmark_370.36;copenhagen_344.07;aalborg_281.09;danish_272.36;city_182.69;jutland_146.18;århus_111.6;large_83.5
bn:00000184n;Hank Aaron;home run_3730.29;hit_2255.37;braves_1569.63;game_1487.18;major league_1374.26;pitcher_1296.75;inning_1100.78;season_1081.47;baseball_942.28
bn:00000185n;Aaron;moses_5182.88;god_4129.31;israelite_1826.64;torah_1487.97;aaron_1342.17;pharaoh_918.36;rabbi_900.63;parashah_796.38;prophet_737.22
bn:00000186n;Verbascum thapsus;plant_173.64;mullein_104.52;yosemite_81.3;flower_76.3;thapsus_74.76;infusion_64.9;horse_64.57;leaf_63.66;great mullein_61.68
bn:00000187n;Aaron Burr;burr_1649.94;jefferson_1477.17;hamilton_944.42;federalist_606.31;aaron burr_523.61;duel_335.31;alexander hamilton_295.32;adams_286.11;vice president_273.54
bn:00000188n;Copland (operating system);composer_1534.29;copland_1527.06;symphony_1232.49;music_943.58;apple_469.21;os_465.38;stravinsky_444.79;piano_373.64;mahler_349.69
bn:00000189n;Aaron Montgomery Ward;mall_1227.18;montgomery ward_883.56;store_651.63;sears_388.4;catalog_336.03;spiegel_218.21;anchor_186.18;close_138.91;open_122.98
bn:00000190n;AARP;aarp_675.32;medicare_286.38;social security_183.57;health care_178.03;bush_174.94;health insurance_150.78;lobby_149.72;insurance_145.64;lobbyist_131.99
bn:00000192n;African American Vernacular English;language_935.96;dialect_852.39;english_703.96;aave_557.08;speaker_518.97;accent_407.98;word_397.17;vowel_336.01;speak_293.0
bn:00000193n;Bachelor of Arts;degree_2831.36;bachelor_1165.53;university_703.48;master_642.66;student_402.47;undergraduate_310.29;study_289.47;program_284.82;course_271.99
bn:00000194n;Av;jerusalem_294.85;jewish_267.54;israel_204.46;av_196.35;tisha b'av_186.45;jews_136.39;rabbi_136.19;temple_131.16;torah_129.04
bn:00000199n;Bank card number;card_907.83;credit card_641.98;debit card_419.91;transaction_386.38;merchant_273.33;cardholder_236.82;pin_232.27;eftpos_215.1;digit_212.97
bn:00000200n;Manila hemp;hemp_832.09;rope_271.96;fiber_165.49;counterweight_94.24;arbor_85.8;batten_79.48;manila hemp_66.73;use_63.79;catanduanes_60.15
bn:00000201n;Abacá;banana_573.12;hemp_477.09;philippine_312.33;fiber_287.99;zamboanga_157.19;davao_152.7;abacá_136.37;abaca_98.53;mindanao_87.66
bn:00000202n;Abacus (architecture);column_205.46;temple_171.12;capital_126.99;abacus_119.89;doric_116.0;ionic_90.59;corinthian_84.78;cella_64.2;doric order_63.3
bn:00000203n;Abacus;calculator_664.78;abacus_596.26;digit_422.69;bead_278.72;machine_263.13;number_220.1;multiplication_215.68;decimal_209.14;suanpan_193.75
bn:00000205n;Abalone;abalone_1496.55;shell_857.45;haliotis_570.0;gastropod_218.67;haliotidae_171.28;ammolite_128.51;nacre_113.74;species_108.94;marine_108.74
bn:00000206n;Abampere;unit_134.65;magnetic moment_87.17;metric system_81.64;abampere_75.68;cgpm_51.51;system_48.45;ampere_47.99;magnetic field_33.12;measure_32.67
bn:00000213n;Desertion;soldier_479.19;army_455.72;desertion_394.32;war_377.12;soviet_229.91;deserter_228.58;force_197.77;troop_177.96;afghan_167.4
